family,file,variables,clauses,solver,result,time,rank
medium_suite,medium_3sat_v078_c0332.cnf,78,332,DPLL,SAT,0.8817,2
medium_suite,medium_3sat_v078_c0332.cnf,78,332,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v078_c0332.cnf,78,332,CoBD-SAT,SAT,0.8889,3
medium_suite,medium_3sat_v078_c0332.cnf,78,332,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v078_c0332.cnf,78,332,LA-CDCL,SAT,4.1140,4
medium_suite,medium_3sat_v078_c0332.cnf,78,332,CGPM-SAT,SAT,0.4929,1
medium_suite,medium_3sat_v080_c0340.cnf,80,340,DPLL,SAT,5.7538,3
medium_suite,medium_3sat_v080_c0340.cnf,80,340,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v080_c0340.cnf,80,340,CoBD-SAT,SAT,5.8154,4
medium_suite,medium_3sat_v080_c0340.cnf,80,340,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v080_c0340.cnf,80,340,LA-CDCL,SAT,4.3207,2
medium_suite,medium_3sat_v080_c0340.cnf,80,340,CGPM-SAT,SAT,1.1738,1
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,DPLL,SAT,0.0009,1
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,CDCL,SAT,0.0103,4
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,CoBD-SAT,SAT,0.0049,3
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,BB-CDCL,SAT,0.0628,6
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,LA-CDCL,SAT,0.0145,5
medium_suite,mixed_4sat_v030_c0135.cnf,30,135,CGPM-SAT,SAT,0.0039,2
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,DPLL,SAT,0.0014,1
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,CDCL,SAT,0.0015,2
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,CoBD-SAT,SAT,0.0079,4
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,BB-CDCL,SAT,0.1219,6
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,LA-CDCL,SAT,0.0230,5
medium_suite,mixed_4sat_v040_c0192.cnf,40,192,CGPM-SAT,SAT,0.0073,3
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,DPLL,SAT,0.0068,1
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,CDCL,SAT,0.0263,3
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,CoBD-SAT,SAT,0.0268,4
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,BB-CDCL,SAT,0.2328,6
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,LA-CDCL,SAT,0.0366,5
medium_suite,mixed_4sat_v060_c0270.cnf,60,270,CGPM-SAT,SAT,0.0157,2
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,DPLL,SAT,0.0026,1
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,CDCL,SAT,0.0030,2
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,CoBD-SAT,SAT,0.0171,4
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,BB-CDCL,SAT,0.0890,6
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,LA-CDCL,SAT,0.0385,5
medium_suite,mixed_5sat_v050_c0260.cnf,50,260,CGPM-SAT,SAT,0.0136,3
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,DPLL,SAT,0.0048,1
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,CDCL,SAT,0.0055,2
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,CoBD-SAT,SAT,0.0308,4
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,BB-CDCL,SAT,0.1570,6
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,LA-CDCL,SAT,0.0615,5
medium_suite,mixed_5sat_v070_c0350.cnf,70,350,CGPM-SAT,SAT,0.0286,3
medium_suite,sat_known_v040.cnf,40,120,DPLL,SAT,0.0008,1
medium_suite,sat_known_v040.cnf,40,120,CDCL,SAT,0.0008,2
medium_suite,sat_known_v040.cnf,40,120,CoBD-SAT,SAT,0.0044,3
